industry_code,industry_name,ticker,name,weight,declare_date
801010,农林牧渔,000505,京粮控股,0.3393,2021-12-13
801010,农林牧渔,000592,平潭发展,1.9304,2021-12-13
801010,农林牧渔,000702,正虹科技,0.2033,2021-12-13
801010,农林牧渔,000713,国投丰乐,0.463,2021-12-13
801010,农林牧渔,000735,罗牛山,0.9017,2021-12-13
801010,农林牧渔,000798,中水渔业,0.2562,2021-12-13
801010,农林牧渔,000911,*ST广糖,0.1773,2021-12-13
801010,农林牧渔,000930,中粮科技,0.688,2021-12-13
801010,农林牧渔,000972,中基健康,0.2571,2021-12-13
801010,农林牧渔,000998,隆平高科,1.5576,2021-12-13
801010,农林牧渔,001201,东瑞股份,0.2954,2021-12-13
801010,农林牧渔,002041,登海种业,0.6054,2021-12-13
801010,农林牧渔,002069,獐子岛,0.2492,2021-12-13
801010,农林牧渔,002100,天康生物,1.2143,2021-12-13
801010,农林牧渔,002124,天邦食品,0.7306,2021-12-13
801010,农林牧渔,002157,正邦科技,3.6301,2021-12-13
801010,农林牧渔,002234,民和股份,0.2894,2021-12-13
801010,农林牧渔,002286,保龄宝,0.3842,2021-12-13
801010,农林牧渔,002299,圣农发展,1.4275,2021-12-13
801010,农林牧渔,002311,海大集团,5.3972,2021-12-13
801010,农林牧渔,002321,华英农业,0.4337,2021-12-13
801010,农林牧渔,002385,大北农,1.8585,2021-12-13
801010,农林牧渔,002458,益生股份,1.2164,2021-12-13
801010,农林牧渔,002481,双塔食品,0.4749,2021-12-13
801010,农林牧渔,002548,金新农,0.4126,2021-12-13
801010,农林牧渔,002556,辉隆股份,0.4871,2021-12-13
801010,农林牧渔,002567,唐人神,0.7959,2021-12-13
801010,农林牧渔,002679,福建金森,0.1229,2021-12-13
801010,农林牧渔,002688,金河生物,0.3981,2021-12-13
801010,农林牧渔,002714,牧原股份,17.0813,2021-12-13
801010,农林牧渔,002746,仙坛股份,0.494,2021-12-13
801010,农林牧渔,002772,众兴菌业,0.4024,2021-12-13
801010,农林牧渔,002852,道道全,0.2537,2021-12-13
801010,农林牧渔,002868,绿康生化,0.3002,2021-12-13
801010,农林牧渔,002891,中宠股份,0.7026,2021-12-13
801010,农林牧渔,002982,湘佳股份,0.2084,2021-12-13
801010,农林牧渔,003030,祖名股份,0.2112,2021-12-13
801010,农林牧渔,300021,大禹节水,0.3409,2021-12-13
801010,农林牧渔,300087,ST荃银,0.6049,2021-12-13
801010,农林牧渔,300094,国联水产,0.4103,2021-12-13
801010,农林牧渔,300119,瑞普生物,0.7499,2021-12-13
801010,农林牧渔,300138,晨光生物,0.6939,2021-12-13
801010,农林牧渔,300175,朗源股份,0.3489,2021-12-13
801010,农林牧渔,300189,神农种业,0.9077,2021-12-13
801010,农林牧渔,300268,佳沃食品,0.1969,2021-12-13
801010,农林牧渔,300313,天山生物,0.2226,2021-12-13
801010,农林牧渔,300498,温氏股份,13.7757,2021-12-13
801010,农林牧渔,300511,雪榕生物,0.3201,2021-12-13
801010,农林牧渔,300673,佩蒂股份,0.2661,2021-12-13
801010,农林牧渔,300761,立华股份,1.2039,2021-12-13
801010,农林牧渔,300871,回盛生物,0.348,2021-12-13
801010,农林牧渔,300967,晓鸣股份,0.2079,2021-12-13
801010,农林牧渔,300970,华绿生物,0.2947,2021-12-13
801010,农林牧渔,300999,金龙鱼,2.19,2021-12-13
801010,农林牧渔,600097,开创国际,0.2035,2021-12-13
801010,农林牧渔,600108,亚盛集团,0.9998,2021-12-13
801010,农林牧渔,600127,金健米业,0.9982,2021-12-13
801010,农林牧渔,600191,华资实业,0.3811,2021-12-13
801010,农林牧渔,600195,中牧股份,0.5617,2021-12-13
801010,农林牧渔,600201,生物股份,1.8917,2021-12-13
801010,农林牧渔,600251,冠农股份,0.7284,2021-12-13
801010,农林牧渔,600257,大湖股份,0.3316,2021-12-13
801010,农林牧渔,600265,*ST景谷,0.1734,2021-12-13
801010,农林牧渔,600313,农发种业,0.7636,2021-12-13
801010,农林牧渔,600354,敦煌种业,0.5342,2021-12-13
801010,农林牧渔,600359,新农开发,0.2763,2021-12-13
801010,农林牧渔,600371,万向德农,0.3211,2021-12-13
801010,农林牧渔,600467,好当家,0.3691,2021-12-13
801010,农林牧渔,600540,新赛股份,0.2982,2021-12-13
801010,农林牧渔,600598,北大荒,1.3596,2021-12-13
801010,农林牧渔,600737,中粮糖业,2.5376,2021-12-13
801010,农林牧渔,600962,国投中鲁,0.5983,2021-12-13
801010,农林牧渔,600965,*ST福成,0.149,2021-12-13
801010,农林牧渔,600975,新五丰,0.5958,2021-12-13
801010,农林牧渔,601118,海南橡胶,1.6726,2021-12-13
