file,rows,dup,bad_ohlc,bad_price,zero_volume,first,last
600176_中国巨石,3200,0,0,346,0,2013-06-03,2026-09-01
600177_雅戈尔,3200,0,0,359,0,2013-05-08,2026-09-01
600183_生益科技,3200,0,0,440,0,2013-07-08,2026-09-01
600188_兖矿能源,3200,0,0,1777,0,2013-07-04,2026-09-01
600211_西藏药业,3200,0,0,15,0,2012-12-05,2026-09-01
600236_桂冠电力,3200,0,0,144,0,2013-04-25,2026-09-01
600256_广汇能源,3200,0,0,43,0,2013-05-13,2026-09-01
600282_南钢股份,3200,0,0,306,0,2013-04-17,2026-09-01
600285_羚锐制药,3200,0,0,1,0,2013-05-28,2026-09-01
600295_鄂尔多斯,3200,0,0,1085,0,2012-12-05,2026-09-01
600309_万华化学,3200,0,0,618,0,2012-12-11,2026-09-01
600325_华发股份,3200,0,0,86,0,2013-06-21,2026-09-01
600327_大东方,3200,0,0,1,0,2013-06-24,2026-09-01
600346_恒力石化,3200,0,0,630,0,2012-04-06,2026-09-01
600350_山东高速,3200,0,0,343,0,2013-06-24,2026-09-01
600377_宁沪高速,3200,0,0,208,0,2013-07-08,2026-09-01
600389_江山股份,3200,0,0,18,0,2012-11-14,2026-09-01
600398_海澜之家,3200,0,0,64,0,2013-04-15,2026-09-01
600426_华鲁恒升,3200,0,0,343,0,2013-06-27,2026-09-01
600438_通威股份,3200,0,0,592,0,2012-11-14,2026-09-01
600461_洪城环境,3200,0,0,16,0,2012-11-26,2026-09-01
600507_方大特钢,3200,0,0,849,0,2013-07-03,2026-09-01
600519_贵州茅台,3200,0,0,737,0,2013-07-08,2026-09-01
600546_山煤国际,3200,0,0,1251,0,2013-04-19,2026-09-01
600548_深高速,3200,0,0,293,0,2013-07-04,2026-09-01
600563_法拉电子,3200,0,0,31,0,2013-07-08,2026-09-01
600566_济川药业,3200,0,0,53,0,2013-03-19,2026-09-01
600585_海螺水泥,3200,0,0,110,0,2013-06-26,2026-09-01
600612_老凤祥,3200,0,0,16,0,2013-07-03,2026-09-01
600660_福耀玻璃,3200,0,0,408,0,2013-07-08,2026-09-01
600681_百川能源,3200,0,0,201,0,2012-05-04,2026-09-01
600690_海尔智家,3200,0,0,116,0,2013-02-19,2026-09-01
600741_华域汽车,3200,0,0,276,0,2013-05-24,2026-09-01
600750_华润江中,3200,0,0,48,0,2013-03-20,2026-09-01
600755_厦门国贸,3200,0,0,10,0,2013-06-27,2026-09-01
600779_水井坊,3200,0,0,183,0,2013-07-02,2026-09-01
600782_新钢股份,3200,0,0,219,0,2013-03-04,2026-09-01
600801_华新建材,3200,0,0,768,0,2013-07-03,2026-09-01
600809_山西汾酒,3200,0,0,995,0,2013-06-20,2026-09-01
600845_宝信软件,3200,0,0,88,0,2013-03-25,2026-09-01
600873_梅花生物,3200,0,0,25,0,2012-10-10,2026-09-01
600886_国投电力,3200,0,0,71,0,2013-04-01,2026-09-01
600887_伊利股份,3200,0,0,30,0,2013-05-24,2026-09-01
600900_长江电力,3200,0,0,454,0,2012-12-31,2026-09-01
600971_恒源煤电,3200,0,0,113,0,2013-07-08,2026-09-01
600985_淮北矿业,3200,0,0,10,0,2012-11-08,2026-09-01
601000_唐山港,3200,0,0,258,0,2013-02-25,2026-09-01
601003_柳钢股份,3200,0,0,178,0,2012-10-16,2026-09-01
601009_南京银行,3200,0,0,348,0,2013-06-26,2026-09-01
601012_隆基绿能,3200,0,0,4,0,2013-05-09,2026-09-01
601088_中国神华,3200,0,0,951,0,2013-03-14,2026-09-01
601100_恒立液压,3200,0,0,265,0,2013-05-09,2026-09-01
601126_四方股份,3200,0,0,3,0,2013-07-03,2026-09-01
601166_兴业银行,3200,0,0,203,0,2013-07-01,2026-09-01
601169_北京银行,3200,0,0,1,0,2013-05-08,2026-09-01
601216_君正集团,3200,0,0,325,0,2012-12-25,2026-09-01
601225_陕西煤业,3062,0,0,1334,0,2014-01-28,2026-09-01
601288_农业银行,3200,0,0,239,0,2013-07-08,2026-09-01
601318_中国平安,3200,0,0,325,0,2013-07-05,2026-09-01
601328_交通银行,3200,0,0,203,0,2013-07-08,2026-09-01
601398_工商银行,3200,0,0,97,0,2013-07-08,2026-09-01
601567_三星电气,3200,0,0,294,0,2013-04-17,2026-09-01
601636_旗滨集团,3200,0,0,225,0,2013-07-01,2026-09-01
601666_平煤股份,3200,0,0,270,0,2013-07-08,2026-09-01
601668_中国建筑,3200,0,0,320,0,2013-07-08,2026-09-01
601699_潞安环能,3200,0,0,431,0,2013-06-06,2026-09-01
601717_中创智领,3200,0,0,35,0,2012-08-31,2026-09-01
601799_星宇股份,3200,0,0,116,0,2013-04-24,2026-09-01
